Advisor
AI Builder
Analysis Services
API Management
App Configuration
App Service
Application Gateway
Automation
Microsoft Entra ID (Free)
Microsoft Entra ID (P1 + P2)
Azure Active Directory B2C
Microsoft Entra Domain Services
Microsoft Entra provisioning service
Microsoft Entra multifactor authentication
Azure Health Data Services
Azure Arc-enabled servers
Azure Arc-enabled Kubernetes
Azure Cache for Redis
Azure Cosmos DB (Including DocumentDB)
Azure Container Apps
Azure Database for MySQL
Azure Database for PostgreSQL
Azure Databricks
Azure Fluid Relay
Azure for Education
Azure Information Protection
Azure Kubernetes Service (AKS)
Azure Load Testing
Azure Managed Grafana
Azure Marketplace portal
Azure Maps
Azure Monitor (incl. Application Insights, Log Analytics, and Application Change Analysis)
Azure NetApp Files
Azure OpenAI
Azure Policy
Azure Policy's guest configuration
Azure Red Hat OpenShift
Azure Resource Manager
Azure Service Manager (RDFE)
Azure Sign-up portal
Azure Sphere
Azure Spring Apps
Azure Stack Edge (formerly Data Box Edge)
Azure Local
Azure Static WebApps
Azure Update Manager
Azure Video Indexer
Azure Virtual Desktop (formerly Windows Virtual Desktop)
Azure VMware Solution
Azure Web PubSub
Backup
Bastion
Batch
Blueprints
Bot Service
Cloud Services
Cloud Services Extended Support
Cloud Shell
Azure AI Health Bot
Azure AI Foundry: Azure AI Search
Azure AI Foundry: Azure AI Anomaly Detector
Azure AI Foundry: Azure AI Computer Vision
Azure AI Foundry: Azure AI Content Moderator
Azure AI services: Containers
Azure AI Foundry: Azure AI Custom Vision
Azure AI Foundry: Azure AI Face
Azure AI Foundry: Azure AI Language Understanding (LUIS)
Azure AI Foundry: Azure AI Personalizer
Azure AI Foundry: Azure AI QnA Maker
Azure AI Foundry: Azure AI Speech
Azure AI services: Text Analytics
Azure AI Foundry: Azure AI Translator
Container Instances
Container Registry
Content Delivery Network (CDN)
Cost Management and Billing
Customer Lockbox
Data Box
Data Explorer
Data Factory
Data Share
Database Migration Service
Dataverse
DDoS Protection
Dedicated HSM
DevTest Labs
DNS
Omnichannel for Customer Service
Dynamics 365 Commerce
Dynamics 365 Contact Center
Dynamics 365 Customer Service
Dynamics 365 Field Service
Dynamics 365 Finance
Dynamics 365 Fraud Protection
Dynamics 365 Guides
Dynamics 365 Sales
Dynamics 365 Human Resources
Dynamics 365 Intelligent Order Management
Dynamics 365 Project Operations
Dynamics 365 Sales Professional
Dynamics 365 Supply Chain Management
Event Grid
Event Hubs
ExpressRoute
File Sync
Firewall
Firewall Manager
Azure AI Document Intelligence
Front Door
Functions
Global Secure Access
HDInsight
HPC Cache
Immersive Reader
Import/Export
Internet Analyzer
IoT Hub
Key Vault
Lab Services
Lighthouse
Load Balancer
Logic Apps
Machine Learning
Managed Applications
Media Services
Metrics Advisor
Microsoft Azure Attestation
Microsoft Azure portal
Microsoft Defender for Cloud
Microsoft Defender for Cloud Apps
Microsoft Defender for Endpoint
Microsoft Defender for Identity
Microsoft Defender for IoT
Microsoft Defender Vulnerability Management
Microsoft Defender Threat Intelligence
Microsoft Entra ID Governance
Microsoft Fabric
Microsoft Graph
Microsoft Intune
Microsoft Managed Desktop
Microsoft Pin Reset Service
Microsoft Purview
Microsoft Secure Score
Microsoft Sentinel
Microsoft Security Copilot
Microsoft Stream
Microsoft Threat Experts
Migrate
Network Watcher
Notification Hubs
Open Datasets
Peering Service
Planned Maintenance for VMs
Power Apps
Power Pages
Power Automate
Power BI
Power BI Embedded
Power Data Integrator for Dataverse
Microsoft Copilot Studio
Private Link
Public IP
Resource Graph
Resource Mover
Route Server
Scheduler
Service Bus
Service Fabric
Service Health
SignalR Service
Site Recovery
SQL Database
SQL Managed Instance
SQL Server Stretch Database
Storage: Archive
Storage: Blobs
Storage: Disks
Storage: Files
Storage: Queues
Storage: Tables
StorSimple
Stream Analytics
Synapse Analytics
Traffic Manager
Virtual Machine Scale Sets
Virtual Machines
Virtual Network
Virtual Network NAT
Virtual WAN
VM Image Builder
VPN Gateway
Web Application Firewall
Windows 10 IoT Core Services
